aX,aY,aZ,gX,gY,gZ
0.054,-1.227,-0.360,-52.429,-49.011,-11.597
0.108,-1.273,-0.367,-34.607,-51.453,-31.433
0.096,-1.248,-0.352,-25.574,-50.354,-49.133
0.006,-1.065,-0.415,-24.597,-46.082,-54.993
-0.033,-0.954,-0.489,-21.179,-36.438,-47.302
-0.066,-0.941,-0.504,-9.583,-22.339,-31.860
-0.049,-1.001,-0.481,5.310,-1.343,-18.250
-0.000,-1.112,-0.383,22.278,21.301,-13.672
0.016,-1.146,-0.248,35.156,33.691,-15.259
0.003,-1.168,-0.150,38.696,37.292,-14.709
0.036,-1.179,-0.105,32.959,37.598,-13.184
-0.016,-1.115,-0.145,25.330,34.851,-12.573
0.000,-1.099,-0.114,25.024,35.522,-8.545
0.030,-1.149,-0.063,26.489,35.767,-6.042
0.019,-1.145,-0.025,25.757,36.926,-7.812
0.073,-1.117,-0.034,25.024,37.109,-12.329
0.117,-1.046,-0.020,26.062,33.752,-18.982
0.131,-0.963,0.002,27.893,30.457,-20.386
0.168,-0.963,0.017,26.489,28.198,-15.137
0.182,-0.994,-0.006,27.893,23.560,-9.216
0.219,-1.040,-0.000,35.645,19.653,-6.470
0.210,-1.031,0.012,46.448,18.616,-4.333
0.155,-1.002,-0.002,52.429,17.456,0.732
0.124,-0.997,-0.076,49.927,19.165,6.287
0.105,-1.068,-0.109,46.387,23.621,10.620
0.084,-1.200,-0.078,44.006,31.799,14.832
0.038,-1.275,-0.044,38.757,44.067,16.846
-0.005,-1.296,-0.015,35.583,55.786,13.916
-0.022,-1.320,0.090,40.405,67.139,8.911
-0.041,-1.317,0.217,42.908,76.355,4.517
-0.057,-1.293,0.269,34.485,82.092,0.366
-0.104,-1.244,0.249,21.301,82.458,-2.563
-0.139,-1.218,0.242,10.925,79.041,-5.798
-0.107,-1.227,0.207,3.052,72.571,-11.230
-0.063,-1.191,0.133,-2.319,64.331,-16.357
-0.037,-1.222,0.133,5.127,59.937,-19.714
-0.028,-1.202,0.200,20.325,60.486,-24.048
-0.051,-1.170,0.263,33.936,62.012,-28.992
-0.058,-1.132,0.315,38.696,60.730,-32.837
-0.049,-1.087,0.347,31.982,58.777,-34.668
-0.058,-1.027,0.345,17.700,54.749,-34.119
-0.063,-1.009,0.316,0.305,47.791,-31.738
-0.070,-0.995,0.210,-16.235,38.513,-30.640
-0.073,-0.979,0.100,-20.996,31.738,-31.311
-0.093,-0.958,0.104,-9.277,36.682,-33.569
-0.061,-0.939,0.252,14.160,50.476,-35.339
-0.032,-0.945,0.397,31.067,58.289,-32.959

0.652,-1.442,0.786,-32.166,3.540,23.926
0.438,-1.059,0.607,-108.521,-42.542,33.752
0.381,-1.009,0.270,-142.273,-90.515,46.143
0.282,-1.094,-0.033,-126.404,-143.494,56.946
0.195,-1.151,-0.272,-88.318,-177.490,56.519
0.133,-1.145,-0.469,-50.415,-178.894,49.561
0.109,-1.137,-0.581,-14.771,-149.658,45.044
0.118,-1.126,-0.607,15.198,-106.323,42.969
0.298,-1.139,-0.536,36.011,-61.523,44.250
0.418,-1.329,-0.199,41.382,-29.480,49.316
0.472,-1.342,0.075,12.268,-21.179,54.504
0.393,-1.227,0.214,-39.001,-43.457,59.204
0.305,-1.132,0.112,-79.224,-91.797,60.364
0.268,-1.120,-0.119,-85.571,-150.635,54.382
0.167,-1.161,-0.331,-63.110,-205.505,40.039
0.182,-1.216,-0.641,-32.898,-232.544,21.362
0.106,-1.245,-0.885,-8.728,-227.905,6.470
-0.034,-1.239,-0.985,6.104,-211.304,-4.333
-0.076,-1.165,-0.978,12.085,-187.073,-12.329
-0.080,-1.020,-0.979,14.282,-153.625,-15.137
-0.081,-0.914,-0.931,20.203,-118.042,-12.817
-0.101,-0.817,-0.851,26.550,-94.177,-9.399
-0.120,-0.751,-0.770,28.564,-84.351,-7.874
-0.147,-0.721,-0.728,28.564,-83.984,-7.629
