aX,aY,aZ,gX,gY,gZ
0.087,-0.203,0.080,-103.638,149.048,-30.518
0.063,-0.188,0.223,-99.609,149.719,-38.025
0.064,-0.140,0.360,-93.750,147.400,-45.532
0.057,-0.093,0.459,-84.045,138.184,-48.279
0.023,-0.086,0.470,-71.655,127.869,-46.082
0.030,-0.107,0.437,-59.753,122.253,-44.495
0.037,-0.123,0.416,-48.645,121.216,-44.434
0.034,-0.118,0.448,-39.307,122.498,-45.044
0.036,-0.114,0.466,-32.654,123.779,-44.006
0.032,-0.099,0.450,-26.428,120.056,-41.748
-0.010,-0.040,0.439,-18.433,115.479,-38.513
-0.087,0.018,0.425,-13.550,116.272,-33.447
-0.124,0.101,0.423,-9.033,116.882,-28.992
-0.089,0.160,0.446,-2.014,116.821,-22.461
-0.067,0.155,0.469,3.723,113.220,-9.399
-0.050,0.121,0.451,5.005,107.727,7.141
-0.010,0.059,0.431,-1.465,103.516,24.109
0.014,-0.031,0.440,-12.695,102.844,39.185
0.060,-0.057,0.438,-20.996,104.980,47.791
0.112,0.001,0.458,-19.165,109.070,49.744
0.135,0.064,0.481,-7.202,113.586,52.795
0.135,0.061,0.503,10.132,115.723,60.974
0.128,0.025,0.525,23.987,114.624,74.097
0.159,-0.010,0.536,26.428,110.840,86.609
0.208,-0.041,0.530,24.048,104.492,95.459
0.272,-0.056,0.536,23.865,99.304,100.891
0.345,-0.104,0.569,28.137,96.375,106.812
0.398,-0.173,0.632,33.813,95.276,114.197
0.466,-0.327,0.740,38.330,94.788,120.972
0.544,-0.518,0.832,35.583,91.919,127.380
0.590,-0.657,0.883,26.733,84.778,128.235
0.605,-0.718,0.904,23.437,75.134,120.605
0.596,-0.718,0.887,34.241,65.674,108.398
0.547,-0.650,0.864,57.678,60.364,96.680
0.486,-0.569,0.846,86.243,59.753,89.417
0.443,-0.506,0.847,114.258,59.875,86.914
0.498,-0.541,0.888,136.108,55.847,89.539
0.559,-0.802,0.902,143.372,47.363,100.647
0.620,-1.089,0.810,128.174,39.001,113.342
0.615,-1.266,0.794,97.656,31.616,117.554
